0,1,2
none,none,right
none,none,wrong
none,some,right
none,some,wrong
none,most,right
none,most,wrong
none,all,right
none,all,wrong
some,none,right
some,none,wrong
some,some,right
some,some,wrong
some,most,right
some,most,wrong
some,all,right
some,all,wrong
most,none,right
most,none,wrong
most,some,right
most,some,wrong
most,most,right
most,most,wrong
most,all,right
most,all,wrong
all,none,right
all,none,wrong
all,some,right
all,some,wrong
all,most,right
all,most,wrong
all,all,right
all,all,wrong
